id,name,site,category,city,cms,libraries,antibot,status,created_at
1,«ОРТОДОНТ-ЦЕНТР» в Москве — сеть стоматологических клиник со ...,https://ortodont-center.ru,стоматология,Москва,bitrix,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:32:48.399979+00:00
2,Научно-клинический Стоматологический Центр Eurokappa М. Менделеевская,https://eurokappa.moscow,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:32:48.408258+00:00
3,В.А.Ш. Стоматолог - сеть клиник в Москве у м. ВДНХ и Мытищах,https://your-dentist.ru,стоматология,Москва,joomla,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:32:48.416449+00:00
4,Центр дентальной имплантации и ортопедии в Москве — лечение ...,https://dento-lux.ru,стоматология,Москва,tilda,"[""jquery"", ""angular""]",,crawled,2026-05-27T09:32:48.422597+00:00
5,"Ортодонтия в Москве - цены, отзывы на ортодонтическое лечение зубов в ...",https://zub.ru,ортодонтия,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""recaptcha"", ""bitrix_ajax""]",recaptcha,crawled,2026-05-27T09:32:48.428409+00:00
6,Ортодонтия в Москве. Центр ортодонтического лечения. Цены в ...,https://orthovoc.ru,ортодонтия,Москва,bitrix,"[""jquery"", ""angular"", ""wpcf7""]",,crawled,2026-05-27T09:32:48.434587+00:00
7,Ортодонтия в Москве в «КРСИ» | Исправление прикуса,https://clinic-krsi.ru,ортодонтия,Москва,wordpress,"[""xmlhttprequest"", ""wpcf7"", ""angular"", ""jquery"", ""vue"", ""recaptcha""]","cloudflare,recaptcha",crawled,2026-05-27T09:32:48.441185+00:00
8,Клиника ортодонтии и функциональной стоматологии в Москве | ОФС ...,https://ofs.team,клиника,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7"", ""react""]",,crawled,2026-05-27T09:32:48.447103+00:00
9,"ПРОПРИКУС - Сеть ортодонтических клиник в Москве м. Арбатская, Сокольники",https://proprikus.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""vue"", ""recaptcha"", ""bitrix_ajax""]",recaptcha,crawled,2026-05-27T09:32:48.452924+00:00
10,Отделение Ортодонтии В Клинике Abc-медицина В Москве — Лечение Прикуса,https://abc-medicina.com,стоматология,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7"", ""recaptcha""]","cloudflare,recaptcha",crawled,2026-05-27T09:32:52.382614+00:00
11,Ортодонтическая стоматология в Москве | клиника Перевозникова и Солтановой,https://persoclinic.ru,стоматология,Москва,bitrix,"[""react"", ""angular"", ""jquery"", ""vue"", ""recaptcha"", ""bitrix_ajax""]","cloudflare,recaptcha",crawled,2026-05-27T09:32:52.390995+00:00
12,Ортодонт в Москве - цены и запись на прием в клинику Ниармедик,https://nrmed.ru,стоматология,Москва,,[],,crawled,2026-05-27T09:32:52.398835+00:00
13,"Ортодонтия: стоимость, онлайн-запись на прием - сеть клиник МЕДСИ в Москве",https://medsi.ru,ортодонтия,Москва,bitrix,"[""xmlhttprequest"", ""jquery"", ""vue"", ""angular""]",,crawled,2026-05-27T09:32:52.405271+00:00
14,"Ортодонтическое лечение в Москве, цены на услуги ортодонта в ...",https://ddmedic.ru,стоматология,Москва,wordpress,"[""jquery"", ""angular"", ""wpcf7""]",cloudflare,crawled,2026-05-27T09:32:52.411563+00:00
15,Ортодонтия - zubnoymost.ru,https://zubnoymost.ru,ортодонтия,Москва,,"[""jquery"", ""angular"", ""recaptcha""]",recaptcha,crawled,2026-05-27T09:32:52.418070+00:00
16,Стоматолог-ортодонт в Москве для взрослых - запись на прием к опытному ...,https://klinikabudzdorov.ru,стоматология,Москва,bitrix,"[""xmlhttprequest"", ""angular"", ""jquery"", ""recaptcha"", ""fetch_api"", ""bitrix_ajax""]",recaptcha,crawled,2026-05-27T09:32:52.424465+00:00
